Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,5,734,451,385,29,133,18,150,743,0,0
D:\System\Moje Dokumenty\GitHub\RockPaperScissors\src\app,5,734,451,385,29,133,18,150,743,0,0
